"","ID","Fuel_Type","Station_Na","Street_Add","Intersecti","City","State","ZIP","Status_Cod","Groups_Wit","Expected_D","Access_Day","Cards_Acce","NG_Fill_Ty","NG_PSI","Latitude","Longitude","Date_Last","Updated_At","Owner_Type","Federal_Ag","Federal__1","Open_Date","NG_Vehicle","ID_2"
"1",296,"CNG","Sparq - Baton Rouge","8968 S Choctaw Dr","2 miles east of Airline Hwy/Highway 61","Baton Rouge","LA",70815,"E","Public - Credit card at all times","NA","24 hours daily","M V Comdata FuelMan GasCard Wright_Exp","Q",3600,30.471633,-91.087986,2017-12-05,"2017-12-05 16:28:23 UTC","P","NA","NA","NA","HD","1"
"2",434,"CNG","Kansas Gas Service","200 E 1st Ave","NA","Topeka","KS",66603,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager Wright_Exp","Q",0,39.058746,-95.667844,2017-12-05,"2017-12-05 16:36:46 UTC","T","NA","NA","NA","HD","2"
"3",456,"CNG","Clean Energy - Downtown Dallas","801 S Riverfront Blvd","Located on south end of Fuel City property.","Dallas","TX",75207,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",3600,32.7669635,-96.8075208,2017-07-06,"2017-07-06 17:16:47 UTC","P","NA","NA","NA","HD","3"
"4",477,"CNG","Clean Energy - Garland Independent School District","3526 Security St","I-635, north on Jupiter Rd, and right on Security St","Garland","TX",75042,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,32.897236,-96.684002,2017-08-02,"2017-08-02 18:48:01 UTC","P","NA","NA","NA","HD","4"
"5",522,"CNG","Questar Gas - Sandy","9242 S 500 W","Exit 298 off I-15","Sandy","UT",84070,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp","Q",0,40.5835507,-111.9057236,2017-06-02,"2017-06-02 16:57:16 UTC","T","NA","NA","NA","HD","5"
"6",528,"CNG","Questar Gas - Salt Lake City","1150 W 200 S","200 S","Salt Lake City","UT",84104,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp","Q",0,40.764976,-111.922291,2017-08-02,"2017-08-02 19:02:04 UTC","T","NA","NA","NA","HD","6"
"7",548,"CNG","Questar Gas - LW's Conoco","1050 W 200 N","Main St in Logan, west on 2nd N, and 10 blocks west","Logan","UT",84321,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp","Q",3600,41.7351419,-111.8615584,2017-06-02,"2017-06-02 16:58:03 UTC","P","NA","NA","NA","HD","7"
"8",558,"CNG","Questar Gas - Market Express Sinclair","850 S Carbon Ave","Exit 241/ US-6","Price","UT",84501,"E","Public - Credit card at all times","NA","24 hours daily; Also accepts Sinclair card","D M V GasCard Wright_Exp Comdata","Q",3000,39.586198,-110.812887,2017-06-02,"2017-06-02 16:54:00 UTC","P","NA","NA","NA","HD","8"
"9",569,"CNG","Questar Gas - Chevron","1375 N Main St","Take I-70, then take exit 40, and the station is on the right","Richfield","UT",84701,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp Comdata","Q",3000,38.786196,-112.08329,2017-06-02,"2017-06-02 16:54:00 UTC","P","NA","NA","NA","HD","9"
"10",575,"CNG","Questar Gas - Shell","915 E Saint George Blvd","I-15, take exit 8, go west on Saint George Blvd, station is between 900 East St and 1000 E","St. George","UT",84770,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp","Q",0,37.109775,-113.563804,2017-06-02,"2017-06-02 16:54:00 UTC","P","NA","NA","NA","HD","10"
"11",648,"CNG","Clean Energy - Denver International Airport Rental Car","27700 E 78th Ave","I-70, exit onto Pena Blvd to DIA, follow signs to rental car return","Denver","CO",80249,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,39.8384176,-104.6784133,2017-08-02,"2017-08-02 19:09:51 UTC","P","NA","NA","NA","HD","11"
"12",792,"CNG","PG&E Grass Valley Service Center","788 Taylorville Rd","Exit Highway 49 at McKnight Way, west 2 blocks, and the station is on the right.","Grass Valley","CA",95949,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","Q",0,39.200615,-121.062113,2017-06-02,"2017-06-02 16:57:33 UTC","T","NA","NA","NA","HD","12"
"13",801,"CNG","PG&E Bakersfield Service Center","4101 Wible Rd","Exit Highway 99 at White Land, go west to Wible Road, go south, and the station is on the right.","Bakersfield","CA",93313,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","B",0,35.316494,-119.0394394,2017-06-02,"2017-06-02 16:13:29 UTC","T","NA","NA","NA","HD","13"
"14",806,"CNG","PG&E Fresno Service Center","3754 E California Ave","From Highway 99 northbound, exit at E Jensen Avenue, turn right and travel east 0.75 mile (turns into Jensen Bypass), left on S Pullman Avenue, left again onto E Jensen, follow the road around as it turns into S Orange Avenue, north on S Orange for 1 mil","Fresno","CA",93725,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","B",0,36.7213057,-119.760617,2017-06-02,"2017-06-02 16:59:01 UTC","T","NA","NA","NA","HD","14"
"15",818,"CNG","PG&E Hayward Service Center","24300 Clawiter Rd","Exit Highway 92/San Mateo Bridge at Clawiter Road, go north, and the station is on the right. Or from exit I-880 at Winton Avenue, go west, left on Clawiter, and the station is on the left.","Hayward","CA",94545,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","Q",0,37.6422954,-122.1182473,2017-06-02,"2017-06-02 16:54:40 UTC","T","NA","NA","NA","HD","15"
"16",832,"CNG","PG&E Stockton Service Center","4040 West Ln","Exit I-5/Highway 99 at Hammer Lane, go toward central Stockton, south on West Lane about 1.5 miles, and the station is on the left.","Stockton","CA",95204,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","B",0,37.9902936,-121.2856386,2017-06-02,"2017-06-02 16:57:34 UTC","T","NA","NA","NA","HD","16"
