DMS_ORIG,ORIGIN,DMS_DEST,DESTINATION,DMS_MODE,Total KTons in 2015,Total Ton-Mile in 2015,length
Albuquerque NM,Albuquerque,Austin TX,Austin,Truck,463.6984,451.8614,974.4726313
Albuquerque NM,Albuquerque,Beaumont TX,Beaumont,Truck,1.2189,2.1824,1790.466814
Albuquerque NM,Albuquerque,Corpus Christi TX,Corpus Christi,Truck,295.7293,90.3948,305.6673789
Albuquerque NM,Albuquerque,Dallas-Fort Worth TX,Dallas-Fort Worth,Truck,341.322,370.3257,1084.974599
Albuquerque NM,Albuquerque,El Paso TX,El Paso,Truck,202.8633,103.8298,511.8215074
Albuquerque NM,Albuquerque,Port of Houston TX,Port of Houston,Truck,59.3985,62.7178,1055.881883
Albuquerque NM,Albuquerque,Laredo TX,Laredo,Truck,233.9083,180.3456,771.0098359
Albuquerque NM,Albuquerque,Oklahoma City OK,Oklahoma City,Truck,6.8954,12.4057,1799.126954
Albuquerque NM,Albuquerque,Salt Lake City UT,Salt Lake City,Truck,28.5887,28.3774,992.6089679
Albuquerque NM,Albuquerque,San Antonio TX,San Antonio,Truck,7.1867,10.0469,1397.985167
Albuquerque NM,Albuquerque,Tulsa OK,Tulsa,Truck,43.4816,21.3431,490.8536024
Austin TX,Austin,Beaumont TX,Beaumont,Truck,39.9752,11.4067,285.3444135
Austin TX,Austin,Corpus Christi TX,Corpus Christi,Truck,766.5507,158.8344,207.2066466
Austin TX,Austin,Dallas-Fort Worth TX,Dallas-Fort Worth,Truck,2179.6156,1397.5292,641.1815001
Austin TX,Austin,El Paso TX,El Paso,Truck,11.1001,18.5501,1671.165125
Austin TX,Austin,Port of Houston TX,Port of Houston,Truck,177.0769,266.4837,1504.903802
Austin TX,Austin,Laredo TX,Laredo,Truck,114.14,159.9254,1401.133695
Austin TX,Austin,Salt Lake City UT,Salt Lake City,Truck,1.4574,2.5757,1767.325374
Austin TX,Austin,San Antonio TX,San Antonio,Truck,88.4782,202.6352,2290.227423
Baton Rouge LA,Baton Rouge,Austin TX,Austin,Truck,19.3107,26.4589,1370.167834
Baton Rouge LA,Baton Rouge,Beaumont TX,Beaumont,Truck,986.8449,235.9962,239.1421387
Baton Rouge LA,Baton Rouge,Corpus Christi TX,Corpus Christi,Truck,426.0078,72.6369,170.506033
Baton Rouge LA,Baton Rouge,Dallas-Fort Worth TX,Dallas-Fort Worth,Truck,3770.977,2797.293,741.795296
Baton Rouge LA,Baton Rouge,El Paso TX,El Paso,Truck,2.6084,4.2609,1633.530133
Baton Rouge LA,Baton Rouge,Port of Houston TX,Port of Houston,Truck,2774.8255,437.1149,157.5287887
Baton Rouge LA,Baton Rouge,Lake Charles LA,Lake Charles,Truck,14197.4005,6607.9505,465.4338307
Baton Rouge LA,Baton Rouge,Laredo TX,Laredo,Truck,144.7181,192.5474,1330.499779
Baton Rouge LA,Baton Rouge,Las Vegas NV,Las Vegas,Truck,135.2549,78.063,577.1546909
Baton Rouge LA,Baton Rouge,Albuquerque NM,Albuquerque,Truck,18.0998,27.5056,1519.663201
Baton Rouge LA,Baton Rouge,Port of New Orleans LA,Port of New Orleans,Truck,158.763,130.9918,825.0776314
Baton Rouge LA,Baton Rouge,Oklahoma City OK,Oklahoma City,Truck,2.1079,4.3235,2051.093505
Baton Rouge LA,Baton Rouge,Salt Lake City UT,Salt Lake City,Truck,0.4387,0.7188,1638.477319
Baton Rouge LA,Baton Rouge,San Antonio TX,San Antonio,Truck,175.2865,309.5289,1765.84563
Baton Rouge LA,Baton Rouge,Tulsa OK,Tulsa,Truck,27.2211,35.5653,1306.534269
Beaumont TX,Beaumont,Corpus Christi TX,Corpus Christi,Truck,9294.5545,953.4061,102.5768476
Beaumont TX,Beaumont,Dallas-Fort Worth TX,Dallas-Fort Worth,Truck,18.8521,26.0824,1383.527565
Beaumont TX,Beaumont,El Paso TX,El Paso,Truck,19.1945,30.8178,1605.553674
Beaumont TX,Beaumont,Port of Houston TX,Port of Houston,Truck,168.2897,275.6464,1637.92793
Beaumont TX,Beaumont,Laredo TX,Laredo,Truck,1308.7364,1188.4855,908.1167911
Beaumont TX,Beaumont,Salt Lake City UT,Salt Lake City,Truck,1.602,2.5576,1596.50437
Beaumont TX,Beaumont,San Antonio TX,San Antonio,Truck,230.9254,402.6486,1743.630627
Corpus Christi TX,Corpus Christi,Dallas-Fort Worth TX,Dallas-Fort Worth,Truck,76.088,97.0552,1275.565135
Corpus Christi TX,Corpus Christi,El Paso TX,El Paso,Truck,81.1697,129.6253,1596.966602
Corpus Christi TX,Corpus Christi,Port of Houston TX,Port of Houston,Truck,0.7194,1.1366,1579.927718
Corpus Christi TX,Corpus Christi,Laredo TX,Laredo,Truck,644.7481,538.2919,834.8871443
Corpus Christi TX,Corpus Christi,Salt Lake City UT,Salt Lake City,Truck,20.2002,30.0184,1486.044693
Corpus Christi TX,Corpus Christi,San Antonio TX,San Antonio,Truck,716.1854,1247.4591,1741.810291
Dallas-Fort Worth TX,Dallas-Fort Worth,El Paso TX,El Paso,Truck,94.7245,150.9601,1593.675343
Dallas-Fort Worth TX,Dallas-Fort Worth,Port of Houston TX,Port of Houston,Truck,51.2686,80.904,1578.04192
Dallas-Fort Worth TX,Dallas-Fort Worth,Laredo TX,Laredo,Truck,89.7821,98.4492,1096.534833
Dallas-Fort Worth TX,Dallas-Fort Worth,Salt Lake City UT,Salt Lake City,Truck,138.656,203.5989,1468.37425
Dallas-Fort Worth TX,Dallas-Fort Worth,San Antonio TX,San Antonio,Truck,323.6911,560.0956,1730.339821
Denver CO,Denver,Austin TX,Austin,Truck,850.9048,1522.5361,1789.314269
Denver CO,Denver,Baton Rouge LA,Baton Rouge,Truck,214.2152,174.5783,814.9669118
Denver CO,Denver,Beaumont TX,Beaumont,Truck,1057.7483,250.2886,236.6239681
Denver CO,Denver,Corpus Christi TX,Corpus Christi,Truck,2.7546,4.8483,1760.074058
