"","LONGITUDE","LATITUDE","NAME","ADDRESS","ID","AADTT","FLEET","ID_2"
"1",-94.228817,35.539385,"AM Best","Hilltop Travel Center
I-540 North Exit 24
Alma AR
Phone:

","0",3729,0,"361"
"2",-94.225532,35.487726,"Indie Truck Stop","Alma Travel Mart
300 Highway 71 North
Alma AR
Phone:72921

","1",8238,0,"362"
"3",-94.119638,33.662542,"Indie Truck Stop","Road Mart
950 South Constitution Avenue
Ashdown AR
Phone:71822

","2",1820,0,"363"
"4",-92.826124,35.221265,"Indie Truck Stop","Blackwell Travel Center
100 Fish Lake Rd
Atkins AR
Phone:72823

","3",8740,0,"364"
"5",-91.561519,35.32146,"Indie Truck Stop","On the Run lExxon)
119 U.S. 167
Bald Knob AR
Phone:72010

","4",6882,0,"365"
"6",-91.56125,35.323428,"Indie Truck Stop","Bald Knob Travel Center
142 U.S. 167
Bald Knob AR
Phone:72010

","5",5289,0,"366"
"7",-91.638895,35.736229,"Indie Truck Stop","Tiger Mart 102
876 Batesville Boulevard
Batesville AR
Phone:72501

","6",1433,0,"367"
"8",-91.64176,35.787915,"Indie Truck Stop","Exxon
1150 North Saint Louis Street
Batesville AR
Phone:72501

","7",1713,0,"368"
"9",-92.418082,35.472765,"Indie Truck Stop","JP Flash Market
9053 U.S. 65
Bee Branch AR
Phone:72013

","8",1440,0,"369"
"10",-91.908081,35.068591,"Indie Truck Stop","Exxon Auto Truck Center 101
2417 West Center Street
Beebe AR
Phone:72012

","9",4003,0,"370"
"11",-92.725649,34.483342,"AM Best","JJs Truck Stop
6106 Old Military Road, I-30 Exit 106
Benton AR
Phone:72019

","10",6641,0,"371"
"12",-92.533303,34.608372,"Pilot Travel Center","Pilot Travel Center
I-30, Exit 121, 7801 Alcoa Road
Benton AR
Phone:72015

","11",16717,0,"372"
"13",-94.184337,36.356718,"Indie Truck Stop","E-Z Mart 425
I-540/US71 and Hwy 102, 2401 S E 14th St
Bentonville AR
Phone:72712

","12",5024,0,"373"
"14",-94.221008,36.369997,"Indie Truck Stop","Fastrip 25
US71 Bus, 307 S US-71 Business
Bentonville AR
Phone:72712

","13",3252,0,"374"
"15",-91.099664,36.10437,"Indie Truck Stop","Kum Go
3430 U.S. 63
Black Rock AR
Phone:72415

","14",52,0,"375"
"16",-89.918487,35.888502,"Indie Truck Stop","Exxon
I-55 Ex 63, 3701 S Division St
Blytheville AR
Phone:72315

","15",8100,0,"376"
"17",-89.878738,35.928676,"Indie Truck Stop","Flash Market
1305 East Main Street
Blytheville AR
Phone:72315

","16",8100,0,"377"
"18",-89.918335,35.885131,"Loves Travel Stop","Loves Travel Stop
I-55 Exit 63, 3910 South Division St
Blytheville AR
Phone:72315

","17",8437,0,"378"
"19",-94.076077,34.752098,"Indie Truck Stop","Freds Truck Stop
US71 and US270, 16600 Hwy 71 S
Boles AR
Phone:72926

","18",109,0,"379"
"20",-91.195428,34.911867,"Indie Truck Stop","Flash Market
I-40 Ex 216 (US70), 1920 N Main St
Brinkley AR
Phone:72021

","19",13036,0,"380"
"21",-91.196368,34.912558,"Indie Truck Stop","Shell Station
I-40 Ex 216 (US70), 2101 N Main St
Brinkley AR
Phone:72021

","20",13344,0,"381"
"22",-92.498992,34.616729,"Indie Truck Stop","Speedzone Conoco
I-30 Ex 123 (N Reynolds Rd), 2301 N Reynolds
Bryant AR
Phone:72022

","21",17404,0,"382"
"23",-92.06721,34.951404,"Indie Truck Stop","Exxon Travel Center
US67/US167 Ex 16b, 3950 Hwy -5
Cabot AR
Phone:72023

","22",4073,0,"383"
"24",-93.072241,34.188954,"Indie Truck Stop","Jordans Kwk Stop
180 Valley Street
Caddo Valley AR
Phone:71923

","23",11529,0,"384"
"25",-93.079059,34.20605,"Indie Truck Stop","Jordans Kwik Stop
171 Valley Street
Caddo Valley AR
Phone:71923

","24",10675,0,"385"
"26",-93.071372,34.18706,"Pilot Travel Center","Pilot Travel Center
170 Valley Street, I-30, Exit 78 & Hwy 7
Caddo Valley AR
Phone:71923

","25",11529,0,"386"
"27",-92.827237,33.556623,"Indie Truck Stop","Pit Stop
100 Goodgame Street Southwest
Camden AR
Phone:71701

","26",1552,0,"387"
"28",-92.878358,33.587042,"Indie Truck Stop","Horizon Food-Gas In
Hwy 24, 2175 Chidester Rd
Camden AR
Phone:71701

","27",1093,0,"388"
"29",-92.771628,33.614199,"Indie Truck Stop","Gas Mart
US79, 2137 Hwy 79 N
Camden AR
Phone:71701

","28",2047,0,"389"
"30",-91.751298,34.796164,"Indie Truck Stop","Conoco Auto Truck Stop
1501 North Bankhead
Carlisle AR
Phone:72024

","29",13950,0,"390"
"31",-92.44221,35.527974,"Indie Truck Stop","Citgo Fuel Stop
US65 and AR9, 114 Hwy 9 W
Choctaw AR
Phone:72028

","30",2050,0,"391"
"32",-93.529008,35.426143,"Indie Truck Stop","Hwy 1 09 Truck Plaza
I-40 Ex 55 (Hwy 109), 3309 Sterlin Hurley Ind Hwy
Clarksville AR
Phone:72830

","31",6842,0,"392"
"33",-93.483069,35.456664,"Indie Truck Stop","Exit 57 Auto Truck Express.
I-40 Ex 57, 1001 Interstate Rd
Clarksville AR
Phone:72830

","32",9019,0,"393"
"34",-93.522394,35.463418,"Indie Truck Stop","Exxon Tigermart AutoTruck Center
I-40 Ex 55 (W Main St), 2745 W Main
Clarksville AR
Phone:72930

","33",6842,0,"394"
"35",-92.458319,35.596164,"Indie Truck Stop","Flash Market 46
US65, 481 US-65 N Bypass
Clinton AR
Phone:72031

","34",2043,0,"395"
"36",-92.422598,35.066109,"Indie Truck Stop","Mapco Express
I-40 Ex 129 (Industrial Bld), 545 Industrial Blvd
Conway AR
Phone:72032

","35",10716,0,"396"
"37",-91.966645,33.134992,"Indie Truck Stop","PD One Stop
US82 and N Florida St, 409 US-82 W
Crossett AR
Phone:71635

","36",2315,0,"397"
"38",-91.953883,33.136497,"Indie Truck Stop","Road Mart
US82/AR133, 101 Fairview Rd
Crossett AR
Phone:71635

","37",1698,0,"398"
"39",-91.457843,34.786224,"Indie Truck Stop","Break Time
Hwy 70, 160 N. Main St
De Valls Bluff AR
Phone:72041

","38",1061,0,"399"
"40",-91.332673,34.282433,"Indie Truck Stop","Conoco 1 Stop
Highway 1
De Witt AR
Phone:72042

","39",1013,0,"400"
"41",-94.021946,34.116372,"Indie Truck Stop","Wards Fuel Stop
US70, 504 US-70 W
Dierks AR
Phone:71833

","40",848,0,"401"
"42",-91.492613,33.901477,"Indie Truck Stop","Cashs Travel Plaza
US65, 607 US-65
Dumas AR
Phone:71639

","41",517,0,"402"
"43",-91.49353,33.903527,"Indie Truck Stop","Matthews Little Store
Hwy 65 and US165, Hwy 65 S
Dumas AR
Phone:71639

","42",517,0,"403"
"44",-90.489192,35.14402,"Indie Truck Stop","Shell Lake Travel Center
I-40 Ex 260 (Hwy 149), 531 Route 149 N.
Earle AR
Phone:72331

","43",12150,0,"404"
"45",-90.48799,35.136212,"TA Travel Center","TA Travel Center
I-40, Exit 260, 408 Highway 149 North
Earle AR
Phone:72346

","44",12150,0,"405"
"46",-92.692154,33.196106,"Indie Truck Stop","T-Models Pit Stop
US82 Ex 18 (Hwy 15), 1752 Haynesville Hwy
El Dorado AR
Phone:71730

","45",3852,0,"406"
"47",-92.718999,33.208066,"Indie Truck Stop","Missile Mart
3700 West Hillsboro Street
El Dorado AR
Phone:71730

","46",2937,0,"407"
"48",-92.632943,33.213693,"Indie Truck Stop","Mobil Expressway
2400 East Main Street
El Dorado AR
Phone:71730

","47",3323,0,"408"
"49",-92.591621,33.301252,"Indie Truck Stop","Missile Mart1
4050 Calion Highway
El Dorado AR
Phone:71730

","48",808,0,"409"
"50",-94.198245,35.997173,"Indie Truck Stop","Tobos 66
I-540 Ex 58, 1200 W. Wilson St
Fayetteville AR
Phone:72701

","49",4424,0,"410"
"51",-92.426905,33.824187,"Indie Truck Stop","Circle N
US79/US167 Bypass and AR8, 814 W Hwy -8
Fordyce AR
Phone:71742

","50",2051,0,"411"
"52",-94.375676,35.279461,"Indie Truck Stop","Rons
5114 Rye Hill Road East
Fort Smith AR
Phone:72916

","51",1036,0,"412"
"53",-94.401382,35.314192,"Indie Truck Stop","Short Stop Truck Stop
I-540 Ex 12, 3401 Cavanaugh Rd
Fort Smith AR
Phone:72908

","52",1981,0,"413"
"54",-94.367687,35.403773,"Indie Truck Stop","Diamond Shamrock
I-540 Ex 5 (Kelley Hwy ), 5727 Kelley Highway
Fort Smith AR
Phone:72904

","53",3728,0,"414"
"55",-93.80241,33.612475,"Indie Truck Stop","Red River Truck Stop
I-30 Ex 18 (US67), 5479 Highway 67 W
Fulton AR
Phone:71838

","54",10350,0,"415"
"56",-92.490389,36.283899,"Indie Truck Stop","Flash Market
US62 and N Johnson St, 330 E Main St
Gassville AR
Phone:72635

","55",798,0,"416"
"57",-92.482149,36.287194,"Indie Truck Stop","On The Run
Hwy 62/US412 and AR126, 728 US-62/412 and AR-126
Gassville AR
Phone:72635

","56",798,0,"417"
"58",-91.745238,36.293345,"Indie Truck Stop","J and P Flash Market
US62, 6906 US Route 62
Glencoe AR
Phone:

","57",295,0,"418"
"59",-93.548526,34.321288,"Indie Truck Stop","Cattlemens Trail Stop
64 Highway 70 West
Glenwood AR
Phone:71943

","58",1305,0,"419"
"60",-93.458809,36.338816,"Indie Truck Stop","Powells One Stop
US62 and AR103, 5452 US-62 E
Green Forest AR
Phone:72638

","59",376,0,"420"
"61",-92.387444,35.260005,"Indie Truck Stop","Colts Quick Draw
US65, 1075 US-65 N
Greenbrier AR
Phone:72058

","60",2595,0,"421"
"62",-93.184127,33.998534,"Indie Truck Stop","Southfork Truck Stop
I-30 Ex 63 (Hwy 53), 2066 Highway 53 N
Gurdon AR
Phone:71743

","61",11853,0,"422"
"63",-92.4698,33.537573,"Indie Truck Stop","Missile Mart 2
109 Lee Street
Hampton AR
Phone:71744

","62",1197,0,"423"
"64",-93.030672,36.190542,"Indie Truck Stop","White Oak Station Truck Travel Plaza
4281 Highway 65 S
Harrison AR
Phone:72601

","63",1992,0,"424"
"65",-91.550307,34.7748,"Indie Truck Stop","All Star Travel Plaza
I-40 Ex 193 (Hwy 11), 4369 Hwy 63 N
Hazen AR
Phone:72064

","64",1500,0,"425"
"66",-92.34859,34.4840968,"Indie Truck Stop","Forest Tower Food Mart
Hwy 167, 13487 Highway 167
Hensley AR
Phone:72065

","65",1196,0,"426"
"67",-94.026678,33.452723,"Indie Truck Stop","Hermitage Shell
US63, 149 US-63 Bypass
Hermitage AR
Phone:71647

","66",12787,0,"427"
"68",-93.60137,33.696213,"Indie Truck Stop","Triple J Shell
I-30 Ex 31 (N Hazel St), 2605 N Hazel St
Hope AR
Phone:71801

","67",11250,0,"428"
"69",-93.584386,36.1392,"Indie Truck Stop","Kings River Country Store
US412, 22784 US-412
Huntsville AR
Phone:72740

","68",777,0,"429"
